Species,Mig,Cavity,Clutch,Size
Muscicapa_sethsmithi,0,0,2,10.5
Ficedula_westermanni,1,1,2,11
Ficedula_parva,1,1,7,11.5
Ficedula_dumetoria,0,0,2,12
Ficedula_sapphira,0,1,4,12
Ficedula_superciliaris,1,1,4,12
Phoenicurus_moussieri,1,1,6,12
Sheppardia_gunningi,0,0,3,12
Sheppardia_sharpei,0,0,2,12
Saxicola_dacotiae,0,1,5,12.5
Saxicola_rubicola,1,1,6,12.5
Saxicola_tectes,0,1,4,12.5
Saxicola_torquata,1,1,6,12.5
Brachypteryx_leucophrys,0,0,4,13
Brachypteryx_montana,0,0,4,13
Ficedula_albicollis,1,1,7,13
Ficedula_hyperythra,1,1,4,13
Ficedula_hypoleuca,1,1,10,13
Ficedula_monileger,0,0,4,13
Ficedula_nigrorufa,0,0,2,13
Ficedula_semitorquata,1,1,7,13
Ficedula_subrubra,1,1,5,13
Ficedula_tricolor,1,1,4,13
Muscicapa_adusta,0,1,4,13
Muscicapa_aquatica,0,1,3,13
Muscicapa_cassini,0,1,3,13
Muscicapa_ferruginea,1,0,3,13
Muscicapa_gambagae,0,1,2,13
Muscicapa_infuscata,0,0,3,13
Rhyacornis_fuliginosa,0,1,5,13
Saxicola_rubetra,1,1,7,13
Sheppardia_aequatorialis,0,0,2,13
Sheppardia_bocagei,0,0,2,13
Stiphrornis_erythrothorax,0,0,2,13
Swynnertonia_swynnertoni,0,0,2,13
Ficedula_hodgsonii,1,1,5,13.5
Ficedula_mugimaki,1,0,8,13.5
Ficedula_narcissina,1,1,5,13.5
Ficedula_zanthopygia,1,1,8,13.5
Oenanthe_cypriaca,1,1,5,13.5
Bradornis_infuscatus,0,0,3,14
Bradornis_microrhynchus,0,0,4,14
Cercomela_melanura,0,1,4,14
Cercomela_scotocerca,0,1,3,14
Enicurus_scouleri,0,1,4,14
Erithacus_komadori,0,1,5,14
Erithacus_rubecula,1,1,7,14
Luscinia_cyane,1,0,6,14
Luscinia_sibilans,1,1,6,14
Muscicapa_dauurica,1,0,4,14
Muscicapa_griseisticta,1,0,5,14
Muscicapa_muttui,1,0,5,14
Muscicapa_ruficauda,1,0,4,14
Muscicapa_sibirica,1,1,4,14
Myiomela_albiventris,0,1,3,14
Myioparus_plumbeus,0,1,3,14
Niltava_macgrigoriae,0,1,5,14
Oenanthe_finschii,1,1,6,14
Oenanthe_heuglini,0,1,4,14
Oenanthe_phillipsi,0,0,4,14
Phoenicurus_phoenicurus,1,1,7,14
Saxicola_caprata,1,1,5,14
Saxicola_leucurus,0,1,5,14
Ficedula_strophiata,1,0,4,14.5
Muscicapa_striata,1,1,7,14.5
Alethe_poliophrys,0,0,2,15
Cercomela_familiaris,0,1,4,15
